sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,n,all_internal_marginal_r2,gas_mass_marginal_r2,dominant_internal_feature,dominant_candidate_feature,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,sfr_rank
full_sample,9.4,10.2,9.8,0.7999999999999989,3176,0.1326181990792392,0.06798349917121713,int_log_mgas,int_log_gas_fraction,1,0.048494897163093326,1,5
full_sample,9.4,10.3,9.850000000000001,0.9000000000000004,3422,0.13326748032121158,0.06616959495954655,int_log_mgas,int_log_gas_fraction,1,0.04184031842103475,1,3
full_sample,9.4,10.4,9.9,1.0,3667,0.14242444685140093,0.06406820985450587,int_log_mgas,int_log_gas_fraction,1,0.03662508013750049,1,2
full_sample,9.4,10.5,9.95,1.0999999999999996,3933,0.13861281374643167,0.05496919573207093,int_log_mgas,int_log_gas_fraction,1,0.02926803570038522,1,2
full_sample,9.4,10.55,9.975000000000001,1.1500000000000004,4081,0.13533767757860252,0.05034315194596933,int_log_mgas,int_log_gas_fraction,1,0.025376028266840767,1,2
full_sample,9.4,10.6,10.0,1.1999999999999993,4214,0.14126681531895208,0.04205048982524001,int_log_mgas,int_log_gas_fraction,1,0.021609849453895436,1,2
full_sample,9.4,10.7,10.05,1.299999999999999,4402,0.13951381496499057,0.03657749532960408,int_log_mgas,int_log_gas_fraction,1,0.015969966100244648,1,2
full_sample,9.4,10.75,10.075,1.3499999999999996,4499,0.13657415917090285,0.03390639409129684,int_log_mgas,int_log_gas_fraction,1,0.01420351323835256,1,2
full_sample,9.4,10.8,10.100000000000001,1.4000000000000004,4579,0.13694176479717787,0.03230503559227629,int_log_mgas,int_log_gas_fraction,1,0.010391780571913034,1,5
full_sample,9.4,10.9,10.15,1.5,4692,0.13753971525869832,0.03270205642333143,int_log_mgas,int_log_gas_fraction,1,0.011632601102833928,1,3
full_sample,9.5,9.9,9.7,0.40000000000000036,1703,0.10189667136322084,0.06887313399506584,int_log_mgas,int_log_gas_fraction,1,0.061905227621720876,1,4
full_sample,9.5,10.0,9.75,0.5,2021,0.11738156640591957,0.07527208781773309,int_log_mgas,int_log_gas_fraction,1,0.06446212511896765,1,3
full_sample,9.5,10.1,9.8,0.5999999999999996,2372,0.12664816423400949,0.07514533167471571,int_log_mgas,int_log_gas_fraction,1,0.05559524330945195,1,3
full_sample,9.5,10.2,9.85,0.6999999999999993,2668,0.12947854416843857,0.07204860470331828,int_log_mgas,int_log_gas_fraction,1,0.04783402236445605,1,3
full_sample,9.5,10.3,9.9,0.8000000000000007,2914,0.13581788901068678,0.06723562956271176,int_log_mgas,int_log_gas_fraction,1,0.04071120194035785,1,2
full_sample,9.5,10.4,9.95,0.9000000000000004,3159,0.14158443046556193,0.06263065480286698,int_log_mgas,int_log_gas_fraction,1,0.03337836990279114,1,2
full_sample,9.5,10.5,10.0,1.0,3425,0.13546116532160798,0.053632684053424806,int_log_mgas,int_log_gas_fraction,1,0.025380606052745724,1,3
full_sample,9.5,10.55,10.025,1.0500000000000007,3573,0.13547312369977974,0.05071110529805853,int_log_mgas,int_log_gas_fraction,1,0.022705079539918238,1,2
full_sample,9.5,10.6,10.05,1.0999999999999996,3706,0.14225574213392236,0.042649779716218444,int_log_mgas,int_log_gas_fraction,1,0.01927526707320315,1,2
full_sample,9.5,10.7,10.1,1.1999999999999993,3894,0.1393773611027189,0.03422648528814537,int_log_mgas,int_log_gas_fraction,1,0.012897192072831964,1,3
full_sample,9.5,10.75,10.125,1.25,3991,0.1425512477798379,0.033707720932506874,int_log_mgas,int_log_gas_fraction,1,0.011852114356376342,1,3
full_sample,9.5,10.8,10.15,1.3000000000000007,4071,0.1382032162711945,0.03205613015695344,int_log_mgas,int_log_gas_fraction,1,0.009528706626707462,1,4
full_sample,9.5,10.9,10.2,1.4000000000000004,4184,0.13557194424274674,0.030524516054623335,int_log_mgas,int_log_gas_fraction,1,0.008790267342222768,1,4
full_sample,9.5,11.0,10.25,1.5,4260,0.1313018725588944,0.02960339933480835,int_log_mgas,int_log_gas_fraction,1,0.00970401036675489,1,3
full_sample,9.55,10.0,9.775,0.4499999999999993,1784,0.11601464707481374,0.0752922076270355,int_log_mgas,int_log_gas_fraction,1,0.06288842353688895,1,3
