suite,quantity,log_mstar_lo,log_mstar_hi,log_mstar_center,n,p16,median,p84
TNG,log_ssfr,10.500000000000004,10.650000000000004,10.575000000000003,379,-15.0,-10.172779083251953,-9.545898246765137
TNG,log_gas_fraction,10.650000000000004,10.800000000000004,10.725000000000005,268,0.21186912536621094,0.5553154945373535,0.8460425567626954
TNG,log_ssfr,10.650000000000004,10.800000000000004,10.725000000000005,268,-15.0,-11.60706615447998,-9.925940780639648
TNG,log_gas_fraction,10.800000000000004,10.950000000000005,10.875000000000004,153,0.22720962524414062,0.5687961578369141,0.8002373123168944
TNG,log_ssfr,10.800000000000004,10.950000000000005,10.875000000000004,153,-15.0,-11.557463645935059,-10.032465858459473
TNG,log_gas_fraction,10.950000000000005,11.100000000000005,11.025000000000006,87,0.30937583923339845,0.5060977935791016,0.8742058944702147
TNG,log_ssfr,10.950000000000005,11.100000000000005,11.025000000000006,87,-15.0,-12.173336029052734,-10.635003967285156
TNG,log_gas_fraction,11.100000000000005,11.250000000000005,11.175000000000004,55,0.2555732727050782,0.5764904022216797,0.879536018371582
TNG,log_ssfr,11.100000000000005,11.250000000000005,11.175000000000004,55,-15.0,-12.69934368133545,-10.781863975524903
TNG,log_gas_fraction,11.250000000000005,11.400000000000006,11.325000000000006,43,0.30796653747558594,0.6193923950195312,0.9431640243530274
TNG,log_ssfr,11.250000000000005,11.400000000000006,11.325000000000006,43,-15.0,-12.133749961853027,-10.998912124633788
TNG,log_gas_fraction,11.400000000000006,11.550000000000006,11.475000000000005,25,0.5067108535766601,0.8318309783935547,1.0143627548217773
TNG,log_ssfr,11.400000000000006,11.550000000000006,11.475000000000005,25,-13.097633247375489,-11.467216491699219,-10.644271087646484
TNG,log_gas_fraction,11.550000000000006,11.700000000000006,11.625000000000007,9,0.6950748062133789,1.1067562103271484,1.2755474472045898
TNG,log_ssfr,11.550000000000006,11.700000000000006,11.625000000000007,9,-12.059435920715332,-11.29379653930664,-10.544907531738282
TNG,log_gas_fraction,11.700000000000006,11.850000000000007,11.775000000000006,7,0.7349625015258789,1.0398674011230469,1.1899698638916016
TNG,log_ssfr,11.700000000000006,11.850000000000007,11.775000000000006,7,-11.351177978515626,-11.055561065673828,-10.935772781372071
TNG,log_gas_fraction,11.850000000000007,12.000000000000007,11.925000000000008,2,1.115762939453125,1.1655073165893555,1.215251693725586
TNG,log_ssfr,11.850000000000007,12.000000000000007,11.925000000000008,2,-11.0497017288208,-10.906949043273926,-10.764196357727052
TNG,log_gas_fraction,12.000000000000007,12.150000000000007,12.075000000000006,2,0.8633381271362305,0.990574836730957,1.1178115463256835
TNG,log_ssfr,12.000000000000007,12.150000000000007,12.075000000000006,2,-14.25921173095703,-12.685036659240723,-11.110861587524415
TNG,log_gas_fraction,12.150000000000007,12.300000000000008,12.225000000000009,0,,,
TNG,log_ssfr,12.150000000000007,12.300000000000008,12.225000000000009,0,,,
SIMBA,log_gas_fraction,9.0,9.15,9.075,485,1.0016590499877929,1.2306156158447266,1.4177106094360352
SIMBA,log_ssfr,9.0,9.15,9.075,485,-9.605749130249023,-9.361680030822754,-9.136882286071778
SIMBA,log_gas_fraction,9.15,9.3,9.225000000000001,429,0.9592183303833007,1.1687688827514648,1.3508688354492187
SIMBA,log_ssfr,9.15,9.3,9.225000000000001,429,-9.557471122741699,-9.318221092224121,-9.123161964416504
