variant,region,n,contrast,baseline_r2,plus_r2,marginal_r2,marginal_ci_lo,marginal_ci_hi
primary,high,357,gas|L3,0.08552392930863753,0.08995372091982519,0.004429791611187658,-0.006013346346913551,0.03910122558627811
primary,high,357,sfr|L3,0.08552392930863753,0.0856749917989252,0.00015106249028766505,-0.021095006541735403,0.015778211959728058
primary,high,357,tdep|L3,0.08552392930863753,0.08503281604968256,-0.0004911132589549699,-0.02361195285133182,0.021977625022030482
primary,high,357,gas|L3+mstar,0.07831031873893265,0.09149049866532111,0.013180179926388452,-0.009324342780276175,0.018984443270029232
primary,high,357,sfr|L3+mstar,0.07831031873893265,0.08734390728072687,0.009033588541794216,-0.015568759983289672,0.021946966603021274
primary,high,357,tdep|L3+mstar,0.07831031873893265,0.08664512380591301,0.008334805066980353,-0.017963630168593626,0.02805163678226838
primary,high,357,gas|L3+mstar+tdep,0.08664512380591301,0.08810460113128993,0.0014594773253769205,-0.02361198153990029,0.02018690744095715
primary,high,357,tdep|L3+mstar+gas,0.09149049866532111,0.08810460113128982,-0.0033858975340312902,-0.026864364375297364,0.013864977154268552
primary,high,357,model:L3,,0.08552392930863753,,,
primary,high,357,model:L3+gas,,0.08995372091982519,,,
primary,high,357,model:L3+sfr,,0.0856749917989252,,,
primary,high,357,model:L3+tdep,,0.08503281604968256,,,
primary,high,357,model:L3+gas+tdep,,0.08671187409379884,,,
sf_only,low_cleaned,3126,gas|L3,0.14685685662952924,0.20762747279576538,0.060770616166236135,0.0395020032316561,0.07492713843374438
sf_only,low_cleaned,3126,sfr|L3,0.14685685662952924,0.1462475742986104,-0.0006092823309188367,-0.0012554937461802188,0.002538110249875795
sf_only,low_cleaned,3126,tdep|L3,0.14685685662952924,0.1517656849768475,0.0049088283473182615,0.0015681616794384283,0.011418209729944312
sf_only,low_cleaned,3126,gas|L3+mstar,0.18260704538057615,0.2592608356990969,0.07665379031852076,0.061586936342362064,0.09083885442015001
sf_only,low_cleaned,3126,sfr|L3+mstar,0.18260704538057615,0.189773713666866,0.00716666828628984,0.0022997326108964416,0.012602497545521084
sf_only,low_cleaned,3126,tdep|L3+mstar,0.18260704538057615,0.18167453326434832,-0.0009325121162278294,-0.001140789945530405,0.0019128470174989219
sf_only,low_cleaned,3126,gas|L3+mstar+tdep,0.18167453326434832,0.25902376829389057,0.07734923502954225,0.060026215759202424,0.09382871612591624
sf_only,low_cleaned,3126,tdep|L3+mstar+gas,0.2592608356990969,0.25902376829389057,-0.00023706740520634817,-0.0010762215274839003,0.0030481457310544092
sf_only,low_cleaned,3126,model:L3,,0.14685685662952924,,,
sf_only,low_cleaned,3126,model:L3+gas,,0.20762747279576538,,,
sf_only,low_cleaned,3126,model:L3+sfr,,0.1462475742986104,,,
sf_only,low_cleaned,3126,model:L3+tdep,,0.1517656849768475,,,
sf_only,low_cleaned,3126,model:L3+gas+tdep,,0.2099138100759806,,,
sf_only,original,3254,gas|L3,0.16702415141904986,0.22864872224722585,0.06162457082817599,0.04849796135588704,0.0783519419158104
sf_only,original,3254,sfr|L3,0.16702415141904986,0.1675185755462368,0.0004944241271869487,-0.0008446616160699104,0.003187611902942865
sf_only,original,3254,tdep|L3,0.16702415141904986,0.16772906977261212,0.0007049183535622616,-0.0011750042096301976,0.002520382707123032
sf_only,original,3254,gas|L3+mstar,0.2720513991955667,0.31001837994306786,0.037966980747501156,0.028449305864507234,0.04778853314946179
sf_only,original,3254,sfr|L3+mstar,0.2720513991955667,0.2815304901784533,0.009479090982886573,0.00424751750437257,0.01355744831759959
sf_only,original,3254,tdep|L3+mstar,0.2720513991955667,0.27508816186081353,0.0030367626652468283,0.0005078170605750582,0.006799298559483577
sf_only,original,3254,gas|L3+mstar+tdep,0.27508816186081353,0.3100174622984887,0.03492930043767517,0.024477564003383523,0.04394619110632295
sf_only,original,3254,tdep|L3+mstar+gas,0.31001837994306786,0.31001746229848876,-9.176445791014842e-07,-0.001344793759748182,0.0016261548022630894
sf_only,original,3254,model:L3,,0.16702415141904986,,,
sf_only,original,3254,model:L3+gas,,0.22864872224722585,,,
sf_only,original,3254,model:L3+sfr,,0.1675185755462368,,,
sf_only,original,3254,model:L3+tdep,,0.16772906977261212,,,
sf_only,original,3254,model:L3+gas+tdep,,0.23287792489056028,,,
sf_only,upper_transition,287,gas|L3,0.15255944181899272,0.1758975491170095,0.023338107298016775,-0.012444402195232195,0.048917037320447394
sf_only,upper_transition,287,sfr|L3,0.15255944181899272,0.16267570307283444,0.010116261253841713,-0.015190399143949151,0.04133474383823071
sf_only,upper_transition,287,tdep|L3,0.15255944181899272,0.15950696039714138,0.006947518578148654,-0.01701524175222856,0.04984065168270405
sf_only,upper_transition,287,gas|L3+mstar,0.14942748384395918,0.17052989045584968,0.0211024066118905,-0.019412560970643426,0.032254507320850744
sf_only,upper_transition,287,sfr|L3+mstar,0.14942748384395918,0.16958522456106256,0.020157740717103384,-0.015389886128330008,0.0505361090061374
sf_only,upper_transition,287,tdep|L3+mstar,0.14942748384395918,0.16673571985377716,0.017308236009817984,-0.01655921638733113,0.03857833164023648
sf_only,upper_transition,287,gas|L3+mstar+tdep,0.16673571985377716,0.16909533771121726,0.0023596178574400994,-0.021780424132854463,0.021480746332120677
sf_only,upper_transition,287,tdep|L3+mstar+gas,0.17052989045584968,0.16909533771121726,-0.0014345527446324169,-0.013449862911746416,0.022209976959770738
sf_only,upper_transition,287,model:L3,,0.15255944181899272,,,
sf_only,upper_transition,287,model:L3+gas,,0.1758975491170095,,,
sf_only,upper_transition,287,model:L3+sfr,,0.16267570307283444,,,
sf_only,upper_transition,287,model:L3+tdep,,0.15950696039714138,,,
sf_only,upper_transition,287,model:L3+gas+tdep,,0.16338408385905517,,,
sf_only,high,251,gas|L3,0.061532436860717146,0.058799248291503625,-0.002733188569213521,-0.04754940195155848,0.023135267542938293
