region,n,target,block,cv_r2,ci_lo,ci_hi
high,357,gas_fraction,l3_excl_accretion,0.5584464403462284,0.40904194595867976,0.6375554493546816
high,357,gas_fraction,incr_L3_beyond_Mstar,0.6655205871500461,,
high,357,gas_fraction,incr_Mstar_beyond_L3,0.08844476381843636,,
high,357,int_log_sfr,mstar_only,-0.004544429107189241,-0.053939663446948095,0.006075831810805725
high,357,int_log_sfr,l3_only,0.11480369680983778,0.04459063985639965,0.20985233687456786
high,357,int_log_sfr,l3_plus_mstar,0.11192545008114663,0.04199014808109077,0.21840992002001552
high,357,int_log_sfr,halo_static,0.06201434658327374,0.023958091585466756,0.128488533209011
high,357,int_log_sfr,assembly_timing,0.07236009568882991,0.005566230309471657,0.10600781720913928
high,357,int_log_sfr,accretion_windows,0.04040912187843979,-0.020511878505034067,0.09420062292546416
high,357,int_log_sfr,merger_counts,0.018722171655505514,-0.02995612548098686,0.06924955498754094
high,357,int_log_sfr,l3_excl_peak,0.09734913146856475,0.044818330788641336,0.19116132481985182
high,357,int_log_sfr,l3_excl_accretion,0.12098303760139113,0.06491529046643812,0.23595418267737903
high,357,int_log_sfr,incr_L3_beyond_Mstar,0.11646987918833587,,
high,357,int_log_sfr,incr_Mstar_beyond_L3,-0.00287824672869115,,
high,357,int_log_ssfr,mstar_only,0.005224330627868245,-0.04382784442382431,0.026332703839320744
high,357,int_log_ssfr,l3_only,0.13667637618186107,0.09541426604699366,0.2539339607415461
high,357,int_log_ssfr,l3_plus_mstar,0.13259409298132313,0.07234695064474092,0.2602729096736355
high,357,int_log_ssfr,halo_static,0.07449579857971686,0.025639040561804938,0.16348532812002028
high,357,int_log_ssfr,assembly_timing,0.06891514752589356,0.005475980132453555,0.14322341338120187
high,357,int_log_ssfr,accretion_windows,0.03723441897912057,0.004264271230275943,0.07783789237111553
high,357,int_log_ssfr,merger_counts,0.03644889015594557,-0.02362713794483813,0.09210531973146437
high,357,int_log_ssfr,l3_excl_peak,0.11529686466903691,0.03837512914016118,0.24440522046460222
high,357,int_log_ssfr,l3_excl_accretion,0.14119866210924714,0.09919721658996696,0.21676142553999522
high,357,int_log_ssfr,incr_L3_beyond_Mstar,0.12736976235345487,,
high,357,int_log_ssfr,incr_Mstar_beyond_L3,-0.0040822832005379395,,
